r,run,hops,n,p,q,grid_type
0,429,15,100,1,1,torus
0,430,28,100,1,1,torus
0,431,20,100,1,1,torus
0,432,24,100,1,1,torus
0,433,25,100,1,1,torus
0,434,33,100,1,1,torus
0,435,16,100,1,1,torus
0,436,26,100,1,1,torus
0,437,7,100,1,1,torus
0,438,7,100,1,1,torus
0,439,20,100,1,1,torus
0,440,26,100,1,1,torus
0,441,25,100,1,1,torus
0,442,29,100,1,1,torus
0,443,17,100,1,1,torus
0,444,14,100,1,1,torus
0,445,27,100,1,1,torus
0,446,20,100,1,1,torus
0,447,17,100,1,1,torus
0,448,34,100,1,1,torus
0,449,16,100,1,1,torus
0,450,27,100,1,1,torus
0,451,32,100,1,1,torus
0,452,10,100,1,1,torus
0,453,15,100,1,1,torus
0,454,18,100,1,1,torus
0,455,6,100,1,1,torus
0,456,17,100,1,1,torus
0,457,20,100,1,1,torus
0,458,15,100,1,1,torus
0,459,21,100,1,1,torus
0,460,9,100,1,1,torus
0,461,8,100,1,1,torus
0,462,36,100,1,1,torus
0,463,22,100,1,1,torus
0,464,26,100,1,1,torus
0,465,21,100,1,1,torus
0,466,18,100,1,1,torus
0,467,27,100,1,1,torus
0,468,9,100,1,1,torus
0,469,26,100,1,1,torus
0,470,10,100,1,1,torus
0,471,18,100,1,1,torus
0,472,21,100,1,1,torus
0,473,20,100,1,1,torus
0,474,44,100,1,1,torus
0,475,22,100,1,1,torus
0,476,29,100,1,1,torus
0,477,22,100,1,1,torus
0,478,30,100,1,1,torus
0,479,16,100,1,1,torus
0,480,28,100,1,1,torus
0,481,5,100,1,1,torus
0,482,39,100,1,1,torus
0,483,31,100,1,1,torus
0,484,22,100,1,1,torus
0,485,15,100,1,1,torus
0,486,16,100,1,1,torus
0,487,17,100,1,1,torus
0,488,14,100,1,1,torus
0,489,3,100,1,1,torus
0,490,7,100,1,1,torus
0,491,17,100,1,1,torus
0,492,17,100,1,1,torus
0,493,10,100,1,1,torus
0,494,11,100,1,1,torus
0,495,19,100,1,1,torus
0,496,33,100,1,1,torus
0,497,26,100,1,1,torus
0,498,27,100,1,1,torus
0,499,28,100,1,1,torus
0,500,21,100,1,1,torus
0,501,18,100,1,1,torus
0,502,20,100,1,1,torus
0,503,10,100,1,1,torus
0,504,14,100,1,1,torus
0,505,22,100,1,1,torus
0,506,25,100,1,1,torus
0,507,23,100,1,1,torus
0,508,28,100,1,1,torus
0,509,12,100,1,1,torus
0,510,44,100,1,1,torus
0,511,25,100,1,1,torus
0,512,31,100,1,1,torus
0,513,18,100,1,1,torus
0,514,29,100,1,1,torus
0,515,32,100,1,1,torus
0,516,17,100,1,1,torus
0,517,36,100,1,1,torus
0,518,19,100,1,1,torus
0,519,16,100,1,1,torus
0,520,27,100,1,1,torus
0,521,38,100,1,1,torus
0,522,11,100,1,1,torus
0,523,27,100,1,1,torus
0,524,22,100,1,1,torus
0,525,32,100,1,1,torus
0,526,27,100,1,1,torus
0,527,12,100,1,1,torus
0,528,19,100,1,1,torus
0,529,30,100,1,1,torus
0,530,14,100,1,1,torus
0,531,15,100,1,1,torus
0,532,21,100,1,1,torus
0,533,25,100,1,1,torus
0,534,15,100,1,1,torus
0,535,16,100,1,1,torus
0,536,11,100,1,1,torus
0,537,9,100,1,1,torus
0,538,27,100,1,1,torus
0,539,23,100,1,1,torus
0,540,26,100,1,1,torus
0,541,41,100,1,1,torus
0,542,22,100,1,1,torus
0,543,11,100,1,1,torus
0,544,20,100,1,1,torus
0,545,17,100,1,1,torus
0,546,27,100,1,1,torus
0,547,7,100,1,1,torus
0,548,35,100,1,1,torus
0,549,25,100,1,1,torus
0,550,32,100,1,1,torus
0,551,26,100,1,1,torus
0,552,16,100,1,1,torus
0,553,10,100,1,1,torus
0,554,25,100,1,1,torus
0,555,16,100,1,1,torus
0,556,19,100,1,1,torus
0,557,12,100,1,1,torus
0,558,8,100,1,1,torus
0,559,28,100,1,1,torus
0,560,28,100,1,1,torus
0,561,14,100,1,1,torus
0,562,17,100,1,1,torus
0,563,13,100,1,1,torus
0,564,20,100,1,1,torus
0,565,26,100,1,1,torus
0,566,22,100,1,1,torus
0,567,20,100,1,1,torus
0,568,21,100,1,1,torus
0,569,16,100,1,1,torus
0,570,25,100,1,1,torus
0,571,28,100,1,1,torus
0,572,17,100,1,1,torus
0,573,19,100,1,1,torus
0,574,25,100,1,1,torus
0,575,18,100,1,1,torus
0,576,18,100,1,1,torus
0,577,12,100,1,1,torus
0,578,30,100,1,1,torus
0,579,12,100,1,1,torus
0,580,19,100,1,1,torus
0,581,16,100,1,1,torus
0,582,24,100,1,1,torus
0,583,23,100,1,1,torus
0,584,26,100,1,1,torus
0,585,28,100,1,1,torus
0,586,24,100,1,1,torus
0,587,19,100,1,1,torus
0,588,24,100,1,1,torus
0,589,28,100,1,1,torus
0,590,17,100,1,1,torus
0,591,20,100,1,1,torus
0,592,10,100,1,1,torus
0,593,30,100,1,1,torus
0,594,8,100,1,1,torus
0,595,14,100,1,1,torus
0,596,24,100,1,1,torus
0,597,28,100,1,1,torus
0,598,28,100,1,1,torus
0,599,29,100,1,1,torus
0,600,35,100,1,1,torus
0,601,22,100,1,1,torus
0,602,25,100,1,1,torus
0,603,20,100,1,1,torus
0,604,19,100,1,1,torus
0,605,20,100,1,1,torus
0,606,17,100,1,1,torus
0,607,7,100,1,1,torus
0,608,16,100,1,1,torus
0,609,16,100,1,1,torus
0,610,12,100,1,1,torus
0,611,19,100,1,1,torus
0,612,26,100,1,1,torus
0,613,18,100,1,1,torus
0,614,18,100,1,1,torus
0,615,26,100,1,1,torus
0,616,17,100,1,1,torus
0,617,22,100,1,1,torus
0,618,23,100,1,1,torus
0,619,25,100,1,1,torus
0,620,27,100,1,1,torus
0,621,14,100,1,1,torus
0,622,13,100,1,1,torus
0,623,9,100,1,1,torus
0,624,24,100,1,1,torus
0,625,30,100,1,1,torus
0,626,34,100,1,1,torus
0,627,16,100,1,1,torus
0,628,6,100,1,1,torus
0,629,35,100,1,1,torus
0,630,26,100,1,1,torus
0,631,9,100,1,1,torus
0,632,24,100,1,1,torus
0,633,27,100,1,1,torus
0,634,31,100,1,1,torus
0,635,22,100,1,1,torus
0,636,17,100,1,1,torus
0,637,24,100,1,1,torus
0,638,30,100,1,1,torus
0,639,21,100,1,1,torus
0,640,18,100,1,1,torus
0,641,13,100,1,1,torus
0,642,10,100,1,1,torus
0,643,19,100,1,1,torus
0,644,29,100,1,1,torus
0,645,15,100,1,1,torus
0,646,20,100,1,1,torus
0,647,29,100,1,1,torus
0,648,21,100,1,1,torus
0,649,22,100,1,1,torus
0,650,10,100,1,1,torus
0,651,16,100,1,1,torus
0,652,32,100,1,1,torus
0,653,21,100,1,1,torus
0,654,4,100,1,1,torus
0,655,25,100,1,1,torus
0,656,19,100,1,1,torus
0,657,32,100,1,1,torus
0,658,21,100,1,1,torus
0,659,21,100,1,1,torus
0,660,23,100,1,1,torus
0,661,26,100,1,1,torus
0,662,18,100,1,1,torus
0,663,22,100,1,1,torus
0,664,17,100,1,1,torus
0,665,11,100,1,1,torus
0,666,18,100,1,1,torus
0,667,18,100,1,1,torus
0,668,23,100,1,1,torus
0,669,27,100,1,1,torus
0,670,16,100,1,1,torus
0,671,12,100,1,1,torus
0,672,25,100,1,1,torus
0,673,12,100,1,1,torus
0,674,18,100,1,1,torus
0,675,24,100,1,1,torus
0,676,8,100,1,1,torus
0,677,30,100,1,1,torus
0,678,18,100,1,1,torus
0,679,25,100,1,1,torus
0,680,25,100,1,1,torus
0,681,14,100,1,1,torus
0,682,24,100,1,1,torus
0,683,24,100,1,1,torus
0,684,21,100,1,1,torus
0,685,21,100,1,1,torus
0,686,21,100,1,1,torus
0,687,24,100,1,1,torus
0,688,34,100,1,1,torus
0,689,16,100,1,1,torus
0,690,22,100,1,1,torus
0,691,26,100,1,1,torus
0,692,31,100,1,1,torus
0,693,30,100,1,1,torus
0,694,12,100,1,1,torus
0,695,29,100,1,1,torus
0,696,22,100,1,1,torus
0,697,18,100,1,1,torus
0,698,7,100,1,1,torus
0,699,20,100,1,1,torus
0,700,19,100,1,1,torus
0,701,23,100,1,1,torus
0,702,21,100,1,1,torus
0,703,25,100,1,1,torus
0,704,34,100,1,1,torus
0,705,15,100,1,1,torus
0,706,25,100,1,1,torus
0,707,16,100,1,1,torus
0,708,22,100,1,1,torus
0,709,22,100,1,1,torus
0,710,20,100,1,1,torus
0,711,25,100,1,1,torus
0,712,33,100,1,1,torus
0,713,9,100,1,1,torus
0,714,32,100,1,1,torus
0,715,31,100,1,1,torus
0,716,10,100,1,1,torus
0,717,18,100,1,1,torus
0,718,25,100,1,1,torus
0,719,21,100,1,1,torus
0,720,13,100,1,1,torus
0,721,19,100,1,1,torus
0,722,12,100,1,1,torus
0,723,25,100,1,1,torus
0,724,17,100,1,1,torus
0,725,26,100,1,1,torus
0,726,19,100,1,1,torus
0,727,38,100,1,1,torus
0,728,21,100,1,1,torus
0,729,25,100,1,1,torus
0,730,26,100,1,1,torus
0,731,28,100,1,1,torus
0,732,14,100,1,1,torus
0,733,24,100,1,1,torus
0,734,23,100,1,1,torus
0,735,31,100,1,1,torus
0,736,9,100,1,1,torus
0,737,26,100,1,1,torus
0,738,21,100,1,1,torus
0,739,33,100,1,1,torus
0,740,20,100,1,1,torus
0,741,24,100,1,1,torus
0,742,29,100,1,1,torus
0,743,26,100,1,1,torus
0,744,22,100,1,1,torus
