r,run,hops,n,p,q,grid_type
0,395,17,100,1,1,flat
0,396,32,100,1,1,flat
0,397,28,100,1,1,flat
0,398,23,100,1,1,flat
0,399,14,100,1,1,flat
0,400,22,100,1,1,flat
0,401,38,100,1,1,flat
0,402,11,100,1,1,flat
0,403,27,100,1,1,flat
0,404,16,100,1,1,flat
0,405,11,100,1,1,flat
0,406,15,100,1,1,flat
0,407,26,100,1,1,flat
0,408,46,100,1,1,flat
0,409,19,100,1,1,flat
0,410,23,100,1,1,flat
0,411,41,100,1,1,flat
0,412,34,100,1,1,flat
0,413,30,100,1,1,flat
0,414,21,100,1,1,flat
0,415,14,100,1,1,flat
0,416,19,100,1,1,flat
0,417,6,100,1,1,flat
0,418,13,100,1,1,flat
0,419,20,100,1,1,flat
0,420,32,100,1,1,flat
0,421,34,100,1,1,flat
0,422,19,100,1,1,flat
0,423,21,100,1,1,flat
0,424,46,100,1,1,flat
0,425,10,100,1,1,flat
0,426,24,100,1,1,flat
0,427,31,100,1,1,flat
0,428,20,100,1,1,flat
0,429,41,100,1,1,flat
0,430,9,100,1,1,flat
0,431,20,100,1,1,flat
0,432,29,100,1,1,flat
0,433,19,100,1,1,flat
0,434,18,100,1,1,flat
0,435,11,100,1,1,flat
0,436,26,100,1,1,flat
0,437,32,100,1,1,flat
0,438,25,100,1,1,flat
0,439,18,100,1,1,flat
0,440,32,100,1,1,flat
0,441,26,100,1,1,flat
0,442,14,100,1,1,flat
0,443,28,100,1,1,flat
0,444,47,100,1,1,flat
0,445,28,100,1,1,flat
0,446,20,100,1,1,flat
0,447,23,100,1,1,flat
0,448,4,100,1,1,flat
0,449,12,100,1,1,flat
0,450,18,100,1,1,flat
0,451,29,100,1,1,flat
0,452,19,100,1,1,flat
0,453,21,100,1,1,flat
0,454,22,100,1,1,flat
0,455,28,100,1,1,flat
0,456,25,100,1,1,flat
0,457,20,100,1,1,flat
0,458,21,100,1,1,flat
0,459,31,100,1,1,flat
0,460,30,100,1,1,flat
0,461,18,100,1,1,flat
0,462,19,100,1,1,flat
0,463,32,100,1,1,flat
0,464,27,100,1,1,flat
0,465,24,100,1,1,flat
0,466,27,100,1,1,flat
0,467,26,100,1,1,flat
0,468,9,100,1,1,flat
0,469,16,100,1,1,flat
0,470,20,100,1,1,flat
0,471,32,100,1,1,flat
0,472,15,100,1,1,flat
0,473,25,100,1,1,flat
0,474,19,100,1,1,flat
0,475,28,100,1,1,flat
0,476,15,100,1,1,flat
0,477,22,100,1,1,flat
0,478,14,100,1,1,flat
0,479,23,100,1,1,flat
0,480,30,100,1,1,flat
0,481,6,100,1,1,flat
0,482,19,100,1,1,flat
0,483,36,100,1,1,flat
0,484,18,100,1,1,flat
0,485,14,100,1,1,flat
0,486,22,100,1,1,flat
0,487,23,100,1,1,flat
